年月日,場所,R,馬番,馬名,調教師,芝・ダ,血統登録番号,前日坂路Time1,前日坂路本数,前日坂路時刻,前日坂路あり,前日坂路調教日
20260922,中山,1,1,アドアプローズ,小手川準,ダ,21107224,67.5,1.0,3:57,True,20260921
20260922,中山,1,10,ブランフォルテ,辻哲英,ダ,22100527,69.7,1.0,7:47,True,20260921
20260922,中山,1,11,ロイガヴェーグル,浜田多実,ダ,20103697,,,,False,
20260922,中山,1,12,ニシノブレイゼスト,高木登,ダ,22107011,,,,False,
20260922,中山,1,13,サトノドルチェ,蛯名利弘,ダ,19105500,,,,False,
20260922,中山,1,14,グランナヴィール,堀内岳志,ダ,21101779,,,,False,
20260922,中山,1,2,カルマンフィルター,戸田博文,ダ,21104842,70.0,1.0,6:08,True,20260921
20260922,中山,1,3,コトブキヘスペラス,金成貴史,ダ,20100209,,,,False,
20260922,中山,1,4,テンプーシャオン,和田勇介,ダ,20102767,68.6,1.0,6:10,True,20260921
20260922,中山,1,5,ゴーツウキリシマ,牧田和弥,ダ,20109148,,,,False,
20260922,中山,1,6,シュハリ,粕谷昌央,ダ,20105031,65.0,1.0,4:41,True,20260921
20260922,中山,1,7,アルシミスト,浅利英明,ダ,21105805,67.8,1.0,4:42,True,20260921
20260922,中山,1,8,バンデルオーラ,岩戸孝樹,ダ,19104915,,,,False,
20260922,中山,1,9,アバットゥータ,中竹和也,ダ,22101139,,,,False,
20260922,中山,10,1,フミサウンド,鹿戸雄一,芝,20103218,,,,False,
20260922,中山,10,10,サヴァビアン,新開幸一,芝,18103473,62.8,1.0,4:11,True,20260921
20260922,中山,10,11,プリムツァール,蛯名正義,芝,22105501,68.1,1.0,6:48,True,20260921
20260922,中山,10,2,レッドレナート,手塚貴徳,芝,21103145,63.4,1.0,5:14,True,20260921
20260922,中山,10,3,ジャルディニエ,奥村豊,芝,22105031,,,,False,
20260922,中山,10,4,エリム,上原博之,芝,20102803,,,,False,
20260922,中山,10,5,デイトナチャンプ,加藤征弘,芝,23107204,,,,False,
20260922,中山,10,6,セブンマイスター,千葉直人,芝,21105688,,,,False,
20260922,中山,10,7,アロンソア,牧田和弥,芝,23103958,,,,False,
20260922,中山,10,8,ロゼル,大和田成,芝,20106415,65.5,1.0,6:12,True,20260921
20260922,中山,10,9,アルデトップガン,田中剛,芝,23105106,,,,False,
20260922,中山,11,1,マーシヴィガラス,的場均,ダ,20104099,69.8,1.0,4:33,True,20260921
20260922,中山,11,10,ブルータス,高柳瑞樹,ダ,22103703,,,,False,
20260922,中山,11,11,ダカラフェスティヴ,奥平雅士,ダ,22104378,,,,False,
20260922,中山,11,12,リフレックス,金成貴史,ダ,23105748,,,,False,
20260922,中山,11,13,ハッスルダンク,中川公成,ダ,20104632,67.2,1.0,4:00,True,20260921
20260922,中山,11,14,レディーフランシス,和田勇介,ダ,22105225,,,,False,
20260922,中山,11,15,ゲキザル,青木孝文,ダ,19102102,,,,False,
20260922,中山,11,16,ルーラーリッチ,小島茂之,ダ,20102793,,,,False,
20260922,中山,11,2,キョウエイフロイデ,中川公成,ダ,21101053,,,,False,
20260922,中山,11,3,ディーズゴールド,中舘英二,ダ,22105847,,,,False,
20260922,中山,11,4,グレイテストソング,小笠倫弘,ダ,22106541,,,,False,
20260922,中山,11,5,サノノワンダー,栗田徹,ダ,22102039,,,,False,
20260922,中山,11,6,タンゴバイラリン,栗田徹,ダ,21105272,,,,False,
20260922,中山,11,7,オレデイイノカ,古賀慎明,ダ,18101243,,,,False,
20260922,中山,11,8,ブロッケンボウ,松永康利,ダ,21104479,,,,False,
20260922,中山,11,9,ラオラシオン,斎藤誠,ダ,21105262,,,,False,
20260922,中山,12,1,キイチムーブメント,青木孝文,ダ,23101656,,,,False,
20260922,中山,12,10,カサブランカキッド,和田勇介,ダ,20104936,67.7,1.0,6:59,True,20260921
20260922,中山,12,11,エコロバロン,菊沢隆徳,ダ,23104992,,,,False,
20260922,中山,12,12,ソードスレイプニル,鈴木慎太,ダ,23103942,67.5,1.0,6:26,True,20260921
20260922,中山,12,13,ジェイエルキャリア,松尾卓哉,ダ,23106312,68.4,1.0,5:07,True,20260921
20260922,中山,12,14,エフエイト,小野次郎,ダ,21109016,,,,False,
20260922,中山,12,15,シルバードン,牧光二,ダ,22101987,,,,False,
20260922,中山,12,16,ノースブルースカイ,堀内岳志,ダ,23105164,,,,False,
20260922,中山,12,2,ロードストラダーレ,本間忍,ダ,23104886,,,,False,
20260922,中山,12,3,フュルスティン,加藤士津,ダ,23100583,,,,False,
20260922,中山,12,4,デルマエアロール,大和田成,ダ,22105535,67.3,1.0,6:12,True,20260921
20260922,中山,12,5,アレーティア,上原博之,ダ,22100101,68.0,1.0,6:55,True,20260921
20260922,中山,12,6,カシノリアーナ,天間昭一,ダ,23100421,68.9,1.0,5:11,True,20260921
20260922,中山,12,7,アルマグラース,水野貴広,ダ,22100216,,,,False,
20260922,中山,12,8,ホウオウガイア,大竹正博,ダ,22104874,,,,False,
20260922,中山,12,9,アルシャンティ,室井潔,ダ,22102978,,,,False,
20260922,中山,2,1,スノーキャップ,嘉藤貴行,芝,24102837,65.2,1.0,3:59,True,20260921
20260922,中山,2,10,ニシノアトール,武市康男,芝,24103937,,,,False,
20260922,中山,2,11,ハミングリップス,青木孝文,芝,24101510,,,,False,
20260922,中山,2,12,ダンシングアワー,室井潔,芝,24101107,,,,False,
20260922,中山,2,13,トーセンルルド,杉浦宏昭,芝,24106857,,,,False,
20260922,中山,2,14,タワーウマザンマイ,青木孝文,芝,24104800,,,,False,
20260922,中山,2,2,ゴータマ,池上昌和,芝,24102067,,,,False,
20260922,中山,2,3,ナナレイ,小野次郎,芝,24101227,,,,False,
20260922,中山,2,4,スペシャルサンクス,矢嶋大樹,芝,24102846,,,,False,
20260922,中山,2,5,ナリタライズ,高橋亮,芝,24105955,,,,False,
20260922,中山,2,6,ニシノタカオ,堀内岳志,芝,24101869,,,,False,
20260922,中山,2,7,シジマ,池上昌和,芝,24100678,,,,False,
20260922,中山,2,8,バタフライ,松山将樹,芝,24107318,,,,False,
20260922,中山,2,9,ニシノムホウモノ,村田一誠,芝,24105422,,,,False,
20260922,中山,3,1,ビスクヴィート,中舘英二,ダ,24101728,,,,False,
20260922,中山,3,10,ダンシングリリー,佐藤吉勝,ダ,24106780,,,,False,
20260922,中山,3,11,ヒーローシー,石栗龍彦,ダ,24100795,,,,False,
20260922,中山,3,2,モミスケ,水野貴広,ダ,24105532,,,,False,
20260922,中山,3,3,ソウラスフロス,金成貴史,ダ,24102190,,,,False,
20260922,中山,3,4,シュアシング,相沢郁,ダ,24105131,,,,False,
20260922,中山,3,5,ドナビッグベン,秋本大介,ダ,24101341,,,,False,
20260922,中山,3,6,ベアアミーチ,杉浦宏昭,ダ,24101604,,,,False,
20260922,中山,3,7,スウィット,牧光二,ダ,24101373,,,,False,
20260922,中山,3,8,ギムナシオン,嘉藤貴行,ダ,24100454,,,,False,
20260922,中山,3,9,ヤマニンスペッキオ,田中勝春,ダ,24102784,66.7,1.0,3:58,True,20260921
20260922,中山,4,1,サンアンドスターズ,畠山吉宏,芝,24103262,,,,False,
20260922,中山,4,10,キャッチアップ,小野次郎,芝,24101787,,,,False,
20260922,中山,4,2,マイネルアルディ,菊川正達,芝,24103585,,,,False,
20260922,中山,4,3,アニエーネ,和田勇介,芝,24103586,68.0,1.0,6:08,True,20260921
20260922,中山,4,4,キャピタルストーン,久保田貴,芝,24105780,,,,False,
20260922,中山,4,5,トーセンシントラ,中舘英二,芝,24104757,69.6,1.0,5:16,True,20260921
20260922,中山,4,6,クシェドゥソレイユ,辻哲英,芝,24102962,,,,False,
20260922,中山,4,7,ドナリー,林徹,芝,24106056,,,,False,
20260922,中山,4,8,エレスレイプニル,杉浦宏昭,芝,24106831,69.1,1.0,3:58,True,20260921
20260922,中山,4,9,コスモバルムンク,小手川準,芝,24103610,69.3,1.0,3:57,True,20260921
20260922,中山,5,1,ビーハッピーデイ,西田雄一,芝,24100279,,,,False,
20260922,中山,5,10,ロックドダイアリー,久保田貴,芝,24106920,,,,False,
20260922,中山,5,11,アマンドショコラ,田中剛,芝,24105439,,,,False,
20260922,中山,5,12,フェスタベラ,木村哲也,芝,24106584,69.9,1.0,3:58,True,20260921
20260922,中山,5,13,ポテ,尾形和幸,芝,24105138,67.3,1.0,3:57,True,20260921
20260922,中山,5,14,ステラストリーム,尾形和幸,芝,24103156,,,,False,
20260922,中山,5,15,セレネリオン,浅利英明,芝,24101842,,,,False,
20260922,中山,5,2,ローズサルーテ,松永康利,芝,24104587,67.5,1.0,4:12,True,20260921
20260922,中山,5,3,アイファーエリース,蛯名利弘,芝,24108140,,,,False,
20260922,中山,5,4,コスモグリュー,田島俊明,芝,24103603,,,,False,
20260922,中山,5,5,ナツハゼ,武市康男,芝,24101750,,,,False,
20260922,中山,5,6,ナイトオブマース,林徹,芝,24106625,,,,False,
20260922,中山,5,7,ジェイエルターボ,鈴木慎太,芝,24100833,66.4,1.0,6:26,True,20260921
20260922,中山,5,8,リネンエトワール,平岩大典,芝,24100181,66.7,1.0,4:57,True,20260921
20260922,中山,5,9,コールオンユー,牧光二,芝,24105040,,,,False,
20260922,中山,6,1,ネオロマーネ,松尾卓哉,芝,24105789,,,,False,
20260922,中山,6,2,シンヒダカムーン,上原佑紀,芝,24105157,62.4,1.0,5:59,True,20260921
20260922,中山,6,3,ヤマメゴリュウ,久保田貴,芝,24101354,,,,False,
20260922,中山,6,4,パッションノーヴァ,武藤善則,芝,24100404,68.3,1.0,6:34,True,20260921
20260922,中山,6,5,テンポアニマート,手塚貴久,芝,24106578,63.1,1.0,5:05,True,20260921
20260922,中山,6,6,メダルボーイ,蛯名正義,芝,24101747,68.0,1.0,6:48,True,20260921
20260922,中山,6,7,ゴクラクチョウカ,和田雄二,芝,24103032,69.0,1.0,4:21,True,20260921
20260922,中山,6,8,スリーボンド,橋田宜長,芝,24101962,,,,False,
20260922,中山,7,1,サムシングニュー,鹿戸雄一,ダ,23102364,,,,False,
20260922,中山,7,10,サムワンライクユー,佐藤吉勝,ダ,20106974,,,,False,
20260922,中山,7,11,クリノゴッホ,新開幸一,ダ,20103885,67.8,1.0,4:11,True,20260921
20260922,中山,7,12,レボルシオン,蛯名正義,ダ,21103500,68.3,1.0,6:48,True,20260921
20260922,中山,7,13,ナックスプレンダー,小野次郎,ダ,23100282,,,,False,
20260922,中山,7,14,アンシュウマト,中川公成,ダ,23101929,,,,False,
20260922,中山,7,2,ブレスドナイル,金成貴史,ダ,22110061,,,,False,
20260922,中山,7,3,タケルムサシ,斎藤誠,ダ,23105177,,,,False,
20260922,中山,7,4,ビリオネアボーイ,武市康男,ダ,22110094,,,,False,
20260922,中山,7,5,ペルヴォルム,加藤和宏,ダ,23102960,,,,False,
20260922,中山,7,6,メトロポリターナ,粕谷昌央,ダ,21110040,,,,False,
20260922,中山,7,7,ユアフェリシティ,千葉直人,ダ,23105137,,,,False,
20260922,中山,7,8,ホーナー,栗田徹,ダ,23107518,,,,False,
20260922,中山,7,9,オウケンヴィーナス,松永康利,ダ,21105451,,,,False,
20260922,中山,8,1,プルーヴンウィナー,林徹,芝,21104780,,,,False,
20260922,中山,8,10,フォーグッド,平岩大典,芝,19105076,69.1,1.0,4:57,True,20260921
20260922,中山,8,11,テイキットイージー,萱野浩二,芝,21101088,,,,False,
20260922,中山,8,12,イモータリス,手塚貴久,芝,23107032,58.5,1.0,7:26,True,20260921
20260922,中山,8,13,ブリックアブラック,高木登,芝,23102410,,,,False,
20260922,中山,8,14,マルカベント,浅利英明,芝,22105362,68.9,1.0,4:18,True,20260921
20260922,中山,8,15,サフランルージュ,室井潔,芝,23101820,,,,False,
20260922,中山,8,16,ベルウッドクレド,辻哲英,芝,23103957,,,,False,
20260922,中山,8,2,リリエンフェルト,上原博之,芝,21104927,,,,False,
20260922,中山,8,3,コウセイケンタロス,和田雄二,芝,22105461,,,,False,
20260922,中山,8,4,ラルガメンテ,尾関知人,芝,22105982,,,,False,
20260922,中山,8,5,メアヴィア,金成貴史,芝,21104820,,,,False,
20260922,中山,8,6,リュウジンマル,村田一誠,芝,22105883,,,,False,
20260922,中山,8,7,マーゴットソラーレ,伊坂重信,芝,21104831,,,,False,
20260922,中山,8,8,ウイントリベルガ,深山雅史,芝,23105891,,,,False,
20260922,中山,8,9,ピースヒロフェイス,牧光二,芝,21105769,,,,False,
20260922,中山,9,1,コンアフェット,斎藤誠,ダ,22105787,,,,False,
20260922,中山,9,10,ヴァリオーサ,新開幸一,ダ,22105711,64.8,1.0,4:11,True,20260921
20260922,中山,9,11,ロイスター,笹田和秀,ダ,23104413,,,,False,
20260922,中山,9,12,レーヴドレフォン,橋田宜長,ダ,21105895,,,,False,
20260922,中山,9,13,セレーノ,高橋亮,ダ,23104372,,,,False,
20260922,中山,9,14,ヴンダーバール,斎藤誠,ダ,23107280,,,,False,
20260922,中山,9,15,ステラスプレンダー,石坂公一,ダ,21105604,,,,False,
20260922,中山,9,16,ユーヴェリア,中尾秀正,ダ,21107278,,,,False,
20260922,中山,9,2,ヴァズレーヌ,嘉藤貴行,ダ,21106707,63.7,1.0,3:59,True,20260921
20260922,中山,9,3,パースウェイド,中舘英二,ダ,22105803,67.4,1.0,6:00,True,20260921
20260922,中山,9,4,エアトベーレ,手塚貴久,ダ,23100964,62.1,1.0,7:26,True,20260921
20260922,中山,9,5,サファイアテソーロ,高木登,ダ,23104602,,,,False,
20260922,中山,9,6,フィールオーサム,岩戸孝樹,ダ,22105925,,,,False,
20260922,中山,9,7,コパノエビータ,手塚貴久,ダ,21102219,61.8,1.0,7:26,True,20260921
20260922,中山,9,8,カスバートテソーロ,畠山吉宏,ダ,22102263,,,,False,
20260922,中山,9,9,ルージュマローネ,栗田徹,ダ,22105569,,,,False,
