機能,芝ダ,ブロック,3枝パターン,馬タイプ,展開帯,方向,WFテスト年数,方向一致率,平均テストAE差,テスト総数,対象年,信頼度,OpportunityM補正
ClosingOpportunity,ダ,母母父ブロック,極極極,MID,LOW,マイナス,6,1.0,-0.11520257457287893,4649,"2021,2022,2023,2024,2025,2026",A,-0.023
ClosingOpportunity,ダ,父ブロック,地地地,LOW,LOW,プラス,5,1.0,0.10651253058272356,2495,"2022,2023,2024,2025,2026",A,0.0213
ClosingOpportunity,芝,母母父ブロック,極極極,HIGH,LOW,マイナス,5,1.0,-0.168628448984276,1758,"2022,2023,2024,2025,2026",A,-0.0337
LongSpurtOpportunity,ダ,母父ブロック,極極極,LOW,HIGH,プラス,5,1.0,0.27000760051828837,1481,"2021,2023,2024,2025,2026",A,0.054
LongSpurtOpportunity,ダ,母母父ブロック,地極極,LOW,HIGH,プラス,5,1.0,0.3852820542895884,1427,"2022,2023,2024,2025,2026",A,0.0771
ClosingOpportunity,ダ,母父ブロック,地極極,MID,HIGH,プラス,5,1.0,0.155662978273097,1044,"2022,2023,2024,2025,2026",A,0.0311
LongSpurtOpportunity,芝,母父ブロック,極極地,LOW,HIGH,プラス,5,1.0,0.4976563844514487,828,"2022,2023,2024,2025,2026",A,0.0995
ClosingOpportunity,芝,母父ブロック,地極極,LOW,LOW,プラス,5,1.0,0.2984089086334179,726,"2022,2023,2024,2025,2026",A,0.0597
LongSpurtOpportunity,芝,父ブロック,地バ極,HIGH,HIGH,マイナス,4,1.0,-0.17876464363096792,2339,"2023,2024,2025,2026",A,-0.0358
LongSpurtOpportunity,ダ,父ブロック,地地極,LOW,HIGH,プラス,4,1.0,0.5028480420720107,592,"2023,2024,2025,2026",A,0.1
LongSpurtOpportunity,芝,母父ブロック,地極極,LOW,HIGH,プラス,4,1.0,0.7385601234829964,306,"2023,2024,2025,2026",A,0.1
LongSpurtOpportunity,芝,父ブロック,地地地,HIGH,LOW,マイナス,3,1.0,-0.1542717059302192,1404,"2024,2025,2026",A,-0.0309
ClosingOpportunity,ダ,父ブロック,地地地,MID,LOW,マイナス,3,1.0,-0.2395160257403162,968,"2024,2025,2026",A,-0.0479
ClosingOpportunity,ダ,母父ブロック,極地地,LOW,LOW,プラス,3,1.0,0.2757069285415296,454,"2024,2025,2026",A,0.0551
LongSpurtOpportunity,ダ,母父ブロック,極地地,MID,HIGH,プラス,3,1.0,0.30777468787660905,319,"2024,2025,2026",A,0.0616
LongSpurtOpportunity,ダ,母父ブロック,極地地,MID,LOW,マイナス,3,1.0,-0.32870648111430106,313,"2024,2025,2026",A,-0.0657
ClosingOpportunity,ダ,母父ブロック,極極地,LOW,LOW,プラス,5,0.8,0.1227967193919048,3056,"2022,2023,2024,2025,2026",A,0.0246
ClosingOpportunity,芝,母母父ブロック,地極極,HIGH,HIGH,プラス,5,0.8,0.1964843868774923,2657,"2022,2023,2024,2025,2026",A,0.0393
ClosingOpportunity,ダ,母母父ブロック,地極極,LOW,LOW,プラス,5,0.8,0.15723665571308823,2444,"2022,2023,2024,2025,2026",A,0.0314
ClosingOpportunity,ダ,母父ブロック,地極極,HIGH,HIGH,プラス,5,0.8,0.13235445113727468,1660,"2022,2023,2024,2025,2026",A,0.0265
LongSpurtOpportunity,芝,母母父ブロック,地極極,LOW,HIGH,プラス,5,0.8,0.2424013677071673,754,"2022,2023,2024,2025,2026",A,0.0485
ClosingOpportunity,芝,父ブロック,地バ極,MID,LOW,マイナス,4,0.75,-0.20020428794430978,1730,"2023,2024,2025,2026",B,-0.04
LongSpurtOpportunity,ダ,母父ブロック,地極極,MID,HIGH,マイナス,4,0.75,-0.20021698248923067,854,"2023,2024,2025,2026",B,-0.04
LongSpurtOpportunity,芝,父ブロック,地バ極,LOW,HIGH,プラス,4,0.75,0.26212721762969093,804,"2023,2024,2025,2026",B,0.0524
LongSpurtOpportunity,芝,父ブロック,極極地,HIGH,LOW,プラス,4,0.75,0.23065235448808566,607,"2023,2024,2025,2026",B,0.0461
ClosingOpportunity,芝,父ブロック,極極地,HIGH,LOW,マイナス,4,0.75,-0.2311339332946138,429,"2022,2023,2024,2025",B,-0.0462
ClosingOpportunity,ダ,母父ブロック,極極極,HIGH,HIGH,マイナス,3,0.6666666666666666,-0.19169128822023196,1306,"2024,2025,2026",B,-0.0383
ClosingOpportunity,ダ,母母父ブロック,極極地,LOW,LOW,プラス,3,0.6666666666666666,0.1821897517614646,601,"2024,2025,2026",B,0.0364
ClosingOpportunity,ダ,母父ブロック,バ極極,HIGH,HIGH,マイナス,3,0.6666666666666666,-0.16832487745919447,500,"2023,2024,2025",B,-0.0337
LongSpurtOpportunity,ダ,母母父ブロック,極極地,MID,HIGH,プラス,3,0.6666666666666666,0.34817744346906326,459,"2024,2025,2026",B,0.0696
ClosingOpportunity,ダ,母母父ブロック,極極地,LOW,HIGH,プラス,3,0.6666666666666666,0.12958925898451343,413,"2024,2025,2026",B,0.0259
LongSpurtOpportunity,ダ,父ブロック,地極極,HIGH,HIGH,マイナス,3,0.6666666666666666,-0.1917676385357928,386,"2024,2025,2026",B,-0.0384
ClosingOpportunity,芝,母父ブロック,バ極極,MID,HIGH,マイナス,3,0.6666666666666666,-0.3119369562023891,361,"2023,2024,2025",B,-0.0624
LongSpurtOpportunity,ダ,父ブロック,地極極,HIGH,LOW,マイナス,3,0.6666666666666666,-0.2552363424536931,350,"2024,2025,2026",B,-0.051
ClosingOpportunity,ダ,父ブロック,極極地,MID,HIGH,プラス,3,0.6666666666666666,0.1361829697305954,315,"2022,2023,2024",B,0.0272
LongSpurtOpportunity,ダ,母母父ブロック,バ極極,MID,LOW,プラス,3,0.6666666666666666,-0.11463809185590397,294,"2024,2025,2026",B,-0.0229
