信頼度,ブロック,3枝パターン,距離変化区分,方向,WFテスト年数,方向一致率,平均テストAE差,テスト総数,Simulator補正,対象年
A,母父ブロック,極極地,延長400m+,プラス,6,1.0,0.226180276875358,4759,0.0452,"2021,2022,2023,2024,2025,2026"
A,父ブロック,地地地,延長400m+,プラス,6,1.0,0.1198432401474386,4509,0.024,"2021,2022,2023,2024,2025,2026"
A,母父ブロック,地地極,延長200-399,プラス,5,1.0,0.2060151222764724,1173,0.0412,"2022,2023,2024,2025,2026"
A,父ブロック,極極地,短縮400m+,プラス,4,1.0,0.3195420805587369,1040,0.0639,"2022,2023,2024,2025"
A,母母父ブロック,極極地,延長400m+,プラス,4,1.0,0.3835278374373558,1021,0.0767,"2023,2024,2025,2026"
A,母父ブロック,極地地,短縮400m+,プラス,4,1.0,0.3328236830662292,668,0.0666,"2023,2024,2025,2026"
A,母父ブロック,バ極極,短縮400m+,プラス,4,1.0,0.2497644138558826,572,0.05,"2022,2024,2025,2026"
A,母母父ブロック,地極地,延長200-399,マイナス,3,1.0,-0.3557955084438345,397,-0.0712,"2024,2025,2026"
A,父ブロック,地地バ,延長400m+,プラス,3,1.0,0.741927116749069,391,0.1,"2024,2025,2026"
A,母父ブロック,地バ極,延長400m+,マイナス,3,1.0,-0.2869083457189375,374,-0.0574,"2024,2025,2026"
A,母父ブロック,地地極,延長400m+,プラス,3,1.0,0.3681453173009048,357,0.0736,"2024,2025,2026"
A,父ブロック,極地バ,延長400m+,プラス,3,1.0,0.1841781806173893,344,0.0368,"2024,2025,2026"
A,父ブロック,地地地,短縮400m+,プラス,6,0.8333333333333334,0.1253262664335973,4181,0.0251,"2021,2022,2023,2024,2025,2026"
A,父ブロック,地極地,延長200-399,プラス,5,0.8,0.1143631087324701,1801,0.0229,"2022,2023,2024,2025,2026"
A,母父ブロック,極地極,短縮200-399,プラス,5,0.8,0.2682415827222485,1295,0.0536,"2022,2023,2024,2025,2026"
A,母父ブロック,地地極,短縮200-399,プラス,5,0.8,0.1600751793352192,1205,0.032,"2022,2023,2024,2025,2026"
A,母母父ブロック,地地極,延長200-399,プラス,5,0.8,0.2351695683388779,1018,0.047,"2022,2023,2024,2025,2026"
A,母父ブロック,バ極極,延長400m+,プラス,5,0.8,0.1086896743859058,837,0.0217,"2022,2023,2024,2025,2026"
B,父ブロック,極地極,短縮200-399,プラス,3,1.0,0.6946536744411843,275,0.1,"2024,2025,2026"
B,父ブロック,極極極,延長400m+,マイナス,3,1.0,-0.926606976739352,211,-0.1,"2023,2024,2025"
B,母母父ブロック,極極地,短縮400m+,プラス,4,0.75,0.1684215293587195,933,0.0337,"2023,2024,2025,2026"
B,父ブロック,地地極,延長400m+,プラス,4,0.75,0.2757180200789968,772,0.0551,"2023,2024,2025,2026"
B,父ブロック,地地極,短縮400m+,プラス,4,0.75,0.2288884685716369,681,0.0458,"2023,2024,2025,2026"
B,母父ブロック,バ極極,延長1-199,マイナス,4,0.75,-0.1130804034151594,460,-0.0226,"2023,2024,2025,2026"
B,父ブロック,バ極極,延長200-399,プラス,4,0.75,0.6200954139156127,338,0.1,"2022,2023,2024,2025"
B,母父ブロック,地極地,延長400m+,マイナス,3,0.6666666666666666,-0.2450682676779869,312,-0.049,"2024,2025,2026"
B,母母父ブロック,地バ極,短縮400m+,マイナス,3,0.6666666666666666,-0.5241418964587056,245,-0.1,"2024,2025,2026"
