検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
クッション値階層,低,父ブロック,極地バ,1128,0.0726950354609929,0.0905030538438548,0.8032329559443804,-2.2706387359256635,0.2225177304964539,0.25932653723817617,0.858060007534379,-3.420206455189283,50.77127659574469,弱,弱
クッション値階層,低,父ブロック,極極地,3416,0.06850117096018736,0.08050159918643479,0.8509293188268786,-2.7601020503758087,0.22540983606557377,0.23933775036158098,0.9418064460162866,-2.2580263477422515,60.25761124121776,弱,やや弱
クッション値階層,低,父ブロック,地バ極,6023,0.0881620454922796,0.07958473793081386,1.1077757844591047,2.6360371997959,0.251203719076872,0.23877282729359997,1.0520615847463528,2.699065182074225,87.82334384858042,強,やや強
クッション値階層,やや高,母父ブロック,極極地,6497,0.08157611205171618,0.07351227471105024,1.1096937534903106,2.680397138270188,0.22902878251500694,0.22154112977718504,1.033798025429195,1.758975853076748,75.34708326920118,強,中立
クッション値階層,やや高,父ブロック,極地地,614,0.11563517915309446,0.08810240297395082,1.3125087994170177,2.5964336152038943,0.28175895765472314,0.2614670008941992,1.077608098502399,1.3914983530396479,106.042345276873,強,中立
クッション値階層,標準,父ブロック,地地極,936,0.06837606837606838,0.05990242189143061,1.1414574939890698,1.1772344200924176,0.20833333333333334,0.18354077352891213,1.135079303240028,2.343811583630286,72.55341880341882,中立,強
クッション値階層,低,父ブロック,地地極,1198,0.07262103505843072,0.07255169875669118,1.0009556812993734,0.009941188785554108,0.19616026711185308,0.21898494033296936,0.895770580449911,-2.2878825768354605,71.4607679465776,中立,弱
クッション値階層,やや高,母父ブロック,地地極,961,0.07075962539021852,0.0829458994667628,0.8530816573828652,-1.484810955128026,0.21748178980228927,0.24340709853671802,0.8934899233001707,-2.2868137281807397,42.185223725286164,中立,弱
クッション値階層,高,母父ブロック,極極バ,577,0.10918544194107452,0.08535483791200837,1.279194532050227,2.2526078900835,0.2582322357019064,0.24232937776650237,1.0656249691307642,1.1054195182241875,68.71750433275562,強,中立
クッション値階層,低,母父ブロック,地地地,1621,0.08019740900678593,0.08152818769164209,0.9836770726476901,-0.21088264567582357,0.26095003084515733,0.24162425374846205,1.079982769928444,2.197027848048332,69.77174583590376,中立,やや強
クッション値階層,低,母母父ブロック,バ極極,1452,0.09917355371900827,0.08434227780742805,1.1758462813328718,2.1721663504213606,0.2534435261707989,0.25354460359496606,0.9996013426326809,-0.01053616725576387,78.37465564738297,強,中立
クッション値階層,やや低,父ブロック,極地バ,1418,0.09379407616361073,0.09275671922315211,1.0111836312144995,0.1458587133185761,0.25176304654442877,0.2712442825122013,0.9281782613541496,-2.0061306116782074,86.09308885754582,中立,やや弱
クッション値階層,低,母母父ブロック,地バ極,816,0.08088235294117647,0.08457136747999389,0.9563798641462186,-0.40629468082073006,0.22426470588235295,0.24934243636159897,0.8994245390187893,-1.979405079720614,73.68872549019608,中立,やや弱
クッション値階層,標準,母父ブロック,バ極極,1323,0.07558578987150416,0.07174347174990871,1.0535563449590148,0.5869740812794574,0.23204837490551777,0.21436109958473928,1.0825115907459062,1.9151802772166102,55.27588813303096,中立,やや強
クッション値階層,低,母父ブロック,地極地,894,0.09395973154362416,0.09384116901611106,1.0012634383049166,0.013010062924473072,0.2539149888143177,0.278035918543514,0.9132452747272605,-1.9137720663602222,86.05145413870244,中立,やや弱
クッション値階層,高,父ブロック,地バ極,5279,0.08297025951884826,0.07777924023008688,1.0667404216524268,1.5151985924434663,0.24247016480394015,0.23332870589336793,1.0391784580280057,1.8884718922115606,77.81966281492706,やや強,中立
クッション値階層,標準,母母父ブロック,地バ極,782,0.07033248081841433,0.08792017554578258,0.7999583756721478,-1.876915199431111,0.2391304347826087,0.26058849839356174,0.9176553695069636,-1.6759020421313064,50.358056265984665,やや弱,やや弱
