接続キー,種牡馬名,正規名,繁殖登録番号,ID確定区分,接続方法,完成区分,現代出走馬での役割,父出現数,母父出現数,母母父出現数,合計出現数,該当出走馬数,父_父祖先名,父_父M,父_母父祖先名,父_母父M,父_母母父祖先名,父_母母父M,母父_父祖先名,母父_父M,母父_母父祖先名,母父_母父M,母父_母母父祖先名,母父_母母父M,母母父_父祖先名,母母父_父M,母母父_母父祖先名,母母父_母父M,母母父_母母父祖先名,母母父_母母父M,9枝シグネチャ,監査注記
ID:1120001232,サンデーサイレンス,サンデーサイレンス,1120001232,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母父・母母父,0,630,2628,3258,3258,Hail to Reason,極,Cosmic Bomb,極,Mahmoud,極,Promised Land,極,Stymie,極,Bull Lea,極,Gulf Stream,地,Fox Club,極,Barranquero,極,極・極・極｜極・極・極｜地・極・極,
ID:1120002086,ディープインパクト,ディープインパクト,1120002086,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,624,1736,154,2514,2514,Halo,極,Understanding,極,Montparnasse,地,Lyphard,バ,Sir Ivor,極,Roman,極,Crepello,極,Vimy,極,Court Martial,極,極-極-地 | バ-極-極 | 極-極-極,
ID:1120002006,キングカメハメハ,キングカメハメハ,1120002006,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,325,1516,244,2085,2085,Mr. Prospector,極,Nureyev,地,Prove Out,地,Try My Best,地,Mill Reef,バ,Sayajirao,極,Hethersett,極,Hornbeam,地,Chanteur,極,極-地-地 | 地-バ-極 | 極-地-極,
ID:1120001853,クロフネ,クロフネ,1120001853,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,194,1106,439,1739,1739,Deputy Minister,地,Hold Your Peace,極,Bold Ruler,極,Pago Pago,極,Never Bend,極,Dumpty Humpty,地,Nearctic,地,Native Dancer,極,Fighting Fox,極,地-極-極 | 極-極-地 | 地-極-極,
ID:1120002084,ハーツクライ,ハーツクライ,1120002084,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,598,774,25,1397,1397,Halo,極,Understanding,極,Montparnasse,地,Kampala,極,Hornbeam,地,Preciptic,極,Northern Dancer,地,Court Martial,極,Formor,極,極-極-地 | 極-地-極 | 地-極-極,
ID:1120001847,アグネスタキオン,アグネスタキオン,1120001847,確定,繁殖登録番号,A_v9.3直接完成,母父・母母父,0,930,450,1380,1380,Halo,極,Understanding,極,Montparnasse,地,Raja Baba,極,Involvement,極,Tournoi,極,Alcide,地,Palestine,極,,バ,極-極-地 | 極-極-極 | 地-極-バ,
ID:1120002295,ロードカナロア,ロードカナロア,1120002295,確定,繁殖登録番号,A_v9.3直接完成,父・母父,1090,280,0,1370,1370,Kingmambo,地,Last Tycoon,地,Blakeney,地,Storm Bird,地,Secretariat,極,Crimson Satan,極,His Majesty,地,Tudor Minstrel,地,Swoon's Son,極,地-地-地 | 地-極-極 | 地-地-極,
ID:1120002119,ダイワメジャー,ダイワメジャー,1120002119,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,541,752,21,1314,1314,Halo,極,Understanding,極,Montparnasse,地,Northern Dancer,地,Victoria Park,極,Hyperion,地,Spy Song,極,,バ,,バ,極-極-地 | 地-極-地 | 極-バ-バ,
ID:1120001542,フジキセキ,フジキセキ,1120001542,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,2,748,531,1281,1281,Halo,極,Understanding,極,Montparnasse,地,Wild Risk,極,Verso,極,Easton,極,Intentionally,極,Rough'n Tumble,極,War Relic,極,極・極・地｜極・極・極｜極・極・極,
ID:1120001796,フレンチデピュティ,フレンチデピュティ,1120001796,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,22,656,495,1173,1173,Vice Regent,バ,Bunty's Flight,極,Jabneh,極,Speak John,極,Eight Thirty,極,Blue Larkspur,バ,Nasrullah,極,Discovery,極,Pompey,極,バ・極・極｜極・極・バ｜極・極・極,
ID:1120001164,ブライアンズタイム,ブライアンズタイム,1120001164,確定,繁殖登録番号,C_v9.4高影響祖先補完で完成,母父・母母父,0,495,613,1108,1108,Hail to Reason,極,Nashua,極,Bull Lea,極,Ribot,極,Alibhai,地,Beau Pere,極,Roman,極,Discovery,極,Broomstick,バ,極・極・極｜極・地・極｜極・極・バ,
ID:1120001964,シンボリクリスエス,シンボリクリスエス,1120001964,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,86,799,203,1088,1088,Roberto,極,Princequillo,極,,バ,Seattle Slew,極,Crimson Satan,極,Rasper,地,Jester,極,Olympia,地,Blenheim,極,極-極-バ | 極-極-地 | 極-地-極,
ID:1120002268,ルーラーシップ,ルーラーシップ,1120002268,確定,繁殖登録番号,A_v9.3直接完成,父・母父,827,235,0,1062,1062,Kingmambo,地,Last Tycoon,地,Blakeney,地,Kampala,極,Hornbeam,地,Preciptic,極,Northern Dancer,地,Victoria Park,極,Hyperion,地,地-地-地 | 極-地-極 | 地-極-地,
ID:1120002219,ハービンジャー,ハービンジャー,1120002219,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,613,408,4,1025,1025,Danehill,地,Kahyasi,地,High Line,地,Arctic Tern,極,Lyphard,バ,Le Fabuleux,極,Northern Dancer,地,Sir Ivor,極,Tom Fool,極,地-地-地 | 極-バ-極 | 地-極-極,
ID:1120001614,ダンスインザダーク,ダンスインザダーク,1120001614,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,父・母父・母母父,3,600,398,1001,1001,Halo,極,Understanding,極,Montparnasse,地,Northern Dancer,地,Bull Page,極,Menow,極,Graustark,地,Princequillo,極,War Admiral,極,極・極・地｜地・極・極｜地・極・極,
ID:1120002349,エピファネイア,エピファネイア,1120002349,確定,繁殖登録番号,A_v9.3直接完成,父・母父,920,58,0,978,978,Kris S.,極,Gold Meridian,地,Tri Jet,バ,サンデーサイレンス,地,マルゼンスキー,バ,セントクレスピン,地,Northern Dancer,地,Bold Reason,極,Forli,地,極-地-バ | 地-バ-地 | 地-極-地,
ID:1120001916,マンハッタンカフェ,マンハッタンカフェ,1120001916,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,69,731,133,933,933,Halo,極,Understanding,極,Montparnasse,地,Alleged,地,Boldnesian,極,Summer Tan,地,Henry the Seventh,バ,Arctic Prince,極,Pont l'Eveque,極,極-極-地 | 地-極-地 | バ-極-極,
ID:1120001743,スペシャルウィーク,スペシャルウィーク,1120001743,確定,繁殖登録番号,A_v9.3直接完成,父・母父・母母父,8,609,313,930,930,Halo,極,Understanding,極,Montparnasse,地,Nijinsky,バ,Buckpasser,極,Princequillo,極,Aureole,極,Nearco,極,,バ,極-極-地 | バ-極-極 | 極-極-バ,
ID:1120001131,トニービン,トニービン,1120001131,確定,繁殖登録番号,I_v9.11_TARGET固定8代年代境界反映で完成,母父・母母父,0,87,823,910,,Kalamoun,極,Only For Life,極,Prince Chevalier,極,Hyperion,地,Nasrullah,極,Bois Roussel,極,Precipitation,極,Gainsborough,極,The Tetrarch,バ,極・極・極｜地・極・極｜極・極・バ,
ID:1120002352,キズナ,キズナ,1120002352,確定,繁殖登録番号,A_v9.3直接完成,父・母父,855,36,0,891,891,サンデーサイレンス,地,Alzao,バ,Busted,極,Storm Bird,地,Secretariat,極,Crimson Satan,極,Sword Dancer,極,My Babu,極,Sickle,極,地-バ-極 | 地-極-極 | 極-極-極,
ID:1140002183,Storm Cat,Storm Cat,1140002183,確定,繁殖登録番号,G_v9.4-v9.9追加祖先反映で完成,母父・母母父,0,167,702,869,,Northern Dancer,地,New Providence,極,Chop Chop,極,Bold Ruler,極,Princequillo,極,Caruso,バ,Spy Song,極,Requiebro,極,Papanatas,バ,地・極・極｜極・極・バ｜極・極・バ,
