場所,芝・ダ,トラックコード,距離,右左,坂,高低差,距離区分,スタート区分,直線距離,コーナー回数,コースID
京都,ダ,1,1200,右,なし,平坦,短距離,直線,403.7,1,京都ダ1200
京都,ダ,1,1400,右,なし,平坦,短距離,向正面,403.7,2,京都ダ1400
京都,ダ,1,1800,右,なし,平坦,マイル,4角,403.7,4,京都ダ1800
京都,ダ,1,1900,右,なし,平坦,中距離,向正面,403.7,4,京都ダ1900
京都,芝,0,1200,右,なし,平坦,短距離,向正面,403.7,2,京都芝1200
京都,芝,8,1400,右,なし,平坦,短距離,2角,403.7,2,京都芝1400
京都,芝,8,1600,右,なし,平坦,マイル,外回り,403.7,2,京都芝1600
京都,芝,8,1800,右,なし,平坦,マイル,外回り,403.7,3,京都芝1800
京都,芝,0,2000,右,なし,平坦,中距離,内回り,403.7,4,京都芝2000
京都,芝,8,2200,右,なし,平坦,中距離,外回り,403.7,4,京都芝2200
京都,芝,8,2400,右,なし,平坦,長距離,外回り,403.7,4,京都芝2400
京都,芝,8,3000,右,なし,平坦,長距離,外回り,403.7,6,京都芝3000
京都,芝,8,3200,右,なし,平坦,長距離,4角,403.7,6,京都芝3200
阪神,ダ,1,1200,右,あり,急坂,短距離,2角,473.6,1,阪神ダ1200
阪神,ダ,1,1400,右,あり,急坂,短距離,向正面,473.6,2,阪神ダ1400
阪神,ダ,1,1800,右,あり,急坂,マイル,向正面,473.6,4,阪神ダ1800
阪神,ダ,1,2000,右,あり,急坂,中距離,3角,473.6,4,阪神ダ2000
阪神,芝,0,1200,右,あり,急坂,短距離,向正面,473.6,2,阪神芝1200
阪神,芝,0,1400,右,あり,急坂,短距離,内回り,473.6,2,阪神芝1400
阪神,芝,8,1600,右,あり,急坂,マイル,外回り,473.6,2,阪神芝1600
阪神,芝,8,1800,右,あり,急坂,マイル,外回り,473.6,2,阪神芝1800
阪神,芝,0,2000,右,あり,急坂,中距離,内回り,473.6,4,阪神芝2000
阪神,芝,0,2200,右,あり,急坂,中距離,内回り,473.6,4,阪神芝2200
阪神,芝,8,2400,右,あり,急坂,長距離,外回り,473.6,4,阪神芝2400
阪神,芝,8,2600,右,あり,急坂,長距離,外回り,473.6,4,阪神芝2600
阪神,芝,0,3000,右,あり,急坂,長距離,内回り,473.6,6,阪神芝3000
阪神,芝,0,3200,右,あり,急坂,長距離,内回り,473.6,6,阪神芝3200
札幌,ダ,1,1000,右,なし,平坦,短距離,直線,266.1,1,札幌ダ1000
札幌,ダ,1,1700,右,なし,平坦,マイル,向正面,266.1,4,札幌ダ1700
札幌,ダ,1,2400,右,なし,平坦,長距離,向正面,266.1,6,札幌ダ2400
札幌,芝,0,1000,右,なし,平坦,短距離,直線,266.1,1,札幌芝1000
札幌,芝,0,1200,右,なし,平坦,短距離,向正面,266.1,2,札幌芝1200
札幌,芝,0,1500,右,なし,平坦,マイル,2角,266.1,2,札幌芝1500
札幌,芝,0,1800,右,なし,平坦,マイル,向正面,266.1,4,札幌芝1800
札幌,芝,0,2000,右,なし,平坦,中距離,4角,266.1,4,札幌芝2000
札幌,芝,0,2600,右,なし,平坦,長距離,向正面,266.1,6,札幌芝2600
小倉,ダ,1,1000,右,なし,平坦,短距離,直線,293,1,小倉ダ1000
小倉,ダ,1,1700,右,なし,平坦,マイル,向正面,293,4,小倉ダ1700
小倉,ダ,1,2400,右,なし,平坦,長距離,向正面,293,6,小倉ダ2400
小倉,芝,0,1200,右,なし,平坦,短距離,向正面,293,2,小倉芝1200
小倉,芝,0,1800,右,なし,平坦,マイル,向正面,293,4,小倉芝1800
小倉,芝,0,2000,右,なし,平坦,中距離,4角,293,4,小倉芝2000
