場所,R,クラスコード,クラス名,芝ダ,グレードコード,距離,馬場状態,レースID(新),馬番,枠番,馬名,性別,年齢,斤量,確定着順,単勝オッズ,調教師,調教師コード,所属,父馬名,コースID
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,1,1,ペイルライダー,牝,3,54,1,2.4,角田晃一,CX01121,栗,ルーラーシップ,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,2,2,ナイルローズ,牝,3,54,7,11.6,粕谷昌央,CX01096,美,トゥザグローリー,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,3,3,セイカリネット,牝,3,54,14,125.3,小野次郎,CX01125,美,ジョーカプチーノ,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,4,3,メイショウメイロウ,牝,3,54,4,4,和田勇介,CX01165,美,クリエイター2,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,5,4,カガノワール,牝,3,51,9,316.7,大江原哲,CX01012,美,キンシャサノキセキ,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,6,4,キーアクティヴ,牝,3,50,8,137.3,杉山佳明,CX01178,栗,エスポワールシチー,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,7,5,クイントン,牝,3,51,13,224.1,新谷功一,CX01172,栗,ラブリーデイ,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,8,5,ラリマールース,牝,3,52,3,15.2,千田輝彦,CX01120,栗,ローエングリン,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,9,6,ビーアップ,牝,3,54,10,9.2,五十嵐忠,CX00422,栗,シニスターミニスター,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,10,6,クアドリフォリオ,牝,3,54,6,63,和田正一,CX01114,美,バゴ,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,11,7,マテンロウステラ,牝,3,54,5,7.3,昆貢,CX01044,栗,キングカメハメハ,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,12,7,プレカーリー,牝,3,51,11,17.1,大和田成,CX01124,美,マクフィ,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,13,8,エラキス,牝,3,54,12,387.9,宮本博,CX01073,栗,ダノンシャーク,札幌ダ1700
札幌,1,7,未勝利,ダ,,1700,良,2.02106E+17,14,8,デルマフゲン,牝,3,54,2,9.8,堀井雅広,CX00436,美,トーセンジョーダン,札幌ダ1700
札幌,1,7,未勝利,ダ,,1000,良,2.02106E+17,1,1,ブリエヴェール,牡,3,53,5,21.3,小笠倫弘,CX01076,美,エイシンフラッシュ,札幌ダ1000
札幌,1,7,未勝利,ダ,,1000,良,2.02106E+17,2,2,ヒルノベルモンタ,セ,3,56,11,59.4,昆貢,CX01044,栗,オルフェーヴル,札幌ダ1000
札幌,1,7,未勝利,ダ,,1000,良,2.02106E+17,3,3,ベイビーアッシュ,牡,3,52,9,32.6,浅見秀一,CX00411,栗,ダンカーク,札幌ダ1000
札幌,1,7,未勝利,ダ,,1000,良,2.02106E+17,4,4,デイジームーン,牝,3,54,4,24.7,谷潔,CX00431,栗,ヘニーハウンド,札幌ダ1000
札幌,1,7,未勝利,ダ,,1000,良,2.02106E+17,5,5,ファイヤービート,牡,3,54,2,14.5,茶木太樹,CX01181,栗,アジアエクスプレス,札幌ダ1000
札幌,1,7,未勝利,ダ,,1000,良,2.02106E+17,6,5,ヴィオマージュ,牡,3,56,12,1.3,牧光二,CX01106,美,マツリダゴッホ,札幌ダ1000
札幌,1,7,未勝利,ダ,,1000,良,2.02106E+17,7,6,ボンラヴォーロ,牝,3,52,10,145.5,菊川正達,CX01052,美,ケイムホーム,札幌ダ1000
