場所,レース番号,クラスコード,クラス名,グレードコード,芝ダ,ネタ,距離,コース区分,馬場状態,レースID(新),馬番,枠番,馬名,性別,年齢,斤量,確定着順,単勝オッズ,調教師,調教師コード,所属,父馬名,クッション値,クッション値判定,コースID
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,1,1,ミエノベルル,牡,3,56,15,10.4,高橋亮,CX01136,栗,エピファネイア,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,2,1,セリシア,牝,3,54,6,3.7,中竹和也,CX01039,栗,エイシンヒカリ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,3,2,リトルロータス,牝,3,52,10,275.3,松永康利,CX01093,美,ブラックタイド,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,4,2,マイネルニゲラ,牡,3,56,12,57.7,小笠倫弘,CX01076,美,ジョーカプチーノ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,5,3,ペイシャケイティー,牝,3,54,5,7.5,土田稔,CX00417,美,カレンブラックヒル,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,6,3,バンベルク,牡,3,56,2,3.9,安田隆行,CX00438,栗,エピファネイア,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,7,4,デクラーク,牡,3,56,7,6.1,矢野英一,CX01108,美,トーセンラー,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,8,4,ニースバローズ,牝,3,51,11,142.9,斎藤誠,CX01086,美,オルフェーヴル,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,9,5,ディーバサンライズ,牝,3,52,1,13.5,小林真也,CX01185,栗,ダイワメジャー,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,10,5,クレマチステソーロ,牝,3,54,4,7.6,高木登,CX01088,美,Kingman,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,11,6,プレジャジンク,牝,3,54,8,25,吉田直弘,CX01101,栗,エピファネイア,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,12,6,ワンダードゥヴァン,牝,3,54,14,95.4,羽月友彦,CX01091,栗,ネオユニヴァース,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,13,7,メルティング,牝,3,54,9,56.6,池添兼雄,CX01021,栗,キンシャサノキセキ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,14,7,リツィタル,牝,3,54,3,124.7,牧田和弥,CX01123,栗,ミッキーアイル,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,15,8,ルーチェビアンカ,牝,3,54,13,56.9,今野貞一,CX01128,栗,ディープブリランテ,7.9,8未満,札幌芝1200
札幌,1,7,未勝利,,芝,0,1200,A,良,2.02106E+17,16,8,キッズリッカリッカ,牝,3,54,16,69.9,牧光二,CX01106,美,ドゥラメンテ,7.9,8未満,札幌芝1200
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,1,1,エーティーツヨシ,牡,3,56,4,15.3,四位洋文,CX01184,栗,ラブリーデイ,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,2,2,ロイヤルアッシュ,牡,3,56,11,83.4,池上昌和,CX01150,美,エピファネイア,7.9,8未満,札幌芝2000
札幌,4,7,未勝利,,芝,0,2000,A,良,2.02106E+17,3,2,シルキーヴォイス,牡,3,54,1,35.8,池江泰寿,CX01071,栗,キングカメハメハ,7.9,8未満,札幌芝2000
