level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,中京,ダ,1200.0,同距離,2110,2110,2110,0.0,0.00029748089679704215,0.009531978775983413,0.0,0.00028147295616222373,0.002705714154797085
COURSE,中京,ダ,1200.0,延長1-199,197,197,197,0.0,-0.0017477723679932833,-0.017905652036921058,0.0,-0.0010861550678065515,-0.0033382461683975854
COURSE,中京,ダ,1200.0,延長200-399,331,331,331,0.0,0.002230821801837868,0.00384047951337263,0.0,0.0016372550252956412,0.0008455867309931311
COURSE,中京,ダ,1200.0,短縮1-199,65,65,65,0.0,-0.0019504262371838887,-0.03789784258748724,0.0,-0.0006852848941456906,-0.003994637461924331
COURSE,中京,ダ,1200.0,短縮200-399,775,775,775,0.0,0.001036330871161617,-0.0067315894857502695,0.0,0.0008973814806148081,-0.0017487090004881984
COURSE,中京,ダ,1200.0,短縮400m+,304,304,304,0.0,-0.00029835150692081314,-0.03577233651461275,0.0,-0.0002139124011885075,-0.007694427099369534
COURSE,中京,ダ,1400.0,同距離,2371,2371,2371,0.0,0.00013045944914402696,0.01736398745182957,0.0,0.0001241747707428695,0.004958251414888146
COURSE,中京,ダ,1400.0,延長1-199,53,53,53,0.0,-0.00343001989318803,-0.011650121713159323,0.0,-0.0010508153429998012,-0.0010707337297065505
COURSE,中京,ダ,1400.0,延長200-399,1065,1065,1065,0.0,0.0019746696584583834,-0.02224450562670348,0.0,0.0017747031107663953,-0.005997569238592204
COURSE,中京,ダ,1400.0,延長400m+,67,67,67,0.0,0.009728387611882328,-0.053328522163736625,0.0,0.003485572032064791,-0.005732103184444418
COURSE,中京,ダ,1400.0,短縮200-399,862,862,862,0.0,0.0003105524044912933,0.0025117659548352517,0.0,0.00027260302716038164,0.0006614487534830917
COURSE,中京,ダ,1400.0,短縮400m+,655,655,655,0.0,-0.0005004630128897514,-0.030085956366767273,0.0,-0.0004229719657326286,-0.007628245711057767
COURSE,中京,ダ,1800.0,同距離,3412,3412,3412,0.006495888982392617,0.005381264956934584,0.015023805024842532,0.0025100762409879514,0.005198436022950396,0.004354010991910763
COURSE,中京,ダ,1800.0,延長1-199,808,808,808,0.010121705843093937,0.02876614347802431,0.007674960527262645,0.003525145828112027,0.025046383545521165,0.0020047526204832597
COURSE,中京,ダ,1800.0,延長200-399,449,449,449,-0.019595046455743968,-0.008538339497256242,-0.015112201262412986,-0.006185009390951875,-0.006737635209609934,-0.003577528137165253
COURSE,中京,ダ,1800.0,延長400m+,592,592,592,0.02607701759048489,0.010907979301790771,-0.041462047768161495,0.008672805850318571,0.009069555823960867,-0.010342218656777362
COURSE,中京,ダ,1800.0,短縮1-199,332,332,332,-0.018045418098215867,-0.035660794714272304,0.009091517845645075,-0.005301839653635104,-0.02619332709101417,0.0020033521624474547
COURSE,中京,ダ,1800.0,短縮200-399,492,492,492,-0.01836376465517541,-0.06213832019267945,-0.028497864072270486,-0.0059052105949975835,-0.04995433584117368,-0.00687301427625347
COURSE,中京,ダ,1800.0,短縮400m+,125,125,125,-0.059274333760866466,-0.11430392748511603,-0.02724583155194528,-0.012096802808340096,-0.058318330349548995,-0.0041702803395834605
COURSE,中京,ダ,1900.0,同距離,356,356,356,-0.01736239409060094,-0.014826585517936475,0.015773552290406223,-0.005194127980045323,-0.011088790849549128,0.0035391079508726563
COURSE,中京,ダ,1900.0,延長1-199,1043,1043,1043,0.013773482324666173,0.007176377114032184,-0.003097573567372225,0.004940925903568983,0.0064359082802541425,-0.0008333884516171704
COURSE,中京,ダ,1900.0,延長200-399,300,300,300,0.00031550853112190247,0.029469868236382313,0.006410256410256401,9.014529460625786e-05,0.021049905883130222,0.0013736263736263718
COURSE,中京,ダ,1900.0,延長400m+,63,63,63,0.09825201646762984,0.054365839108543645,-0.07692307692307693,0.013529785874230994,0.018716108545564207,-0.00794451450189155
COURSE,中京,ダ,1900.0,短縮1-199,235,235,235,-0.029542647497246888,-0.014327913572037776,0.016693944353518814,-0.0078225601823696,-0.009484675181489795,0.0033152762730227505
COURSE,中京,ダ,1900.0,短縮200-399,147,147,147,-0.03553483160493252,-0.015173924478838918,-0.01569858712715856,-0.007825648308501992,-0.00835418314003491,-0.002592912705272257
COURSE,中京,ダ,1900.0,短縮400m+,90,90,90,-0.03190671369110031,-0.06716664956680202,-0.021367521367521375,-0.005469722347045768,-0.02878570695720086,-0.002747252747252748
COURSE,中京,芝,1200.0,同距離,1316,1316,1316,0.0,-0.0023214863168730115,-0.0020406062493715516,0.0,-0.0021274902458251277,-0.0005610246150779168
COURSE,中京,芝,1200.0,延長200-399,48,48,48,0.0,0.00015209377731006946,-0.00640990716122565,0.0,4.345536494573413e-05,-0.0005494206138193414
COURSE,中京,芝,1200.0,短縮200-399,371,371,371,0.0,-0.002223073750044602,-0.004219880207047749,0.0,-0.001679756336591746,-0.0009565634766688686
