調教師,ルール区分,判定ルール概要,該当n,勝率,厩舎全体勝率,勝率差pt,複勝率,厩舎全体複勝率,複勝率差pt,非勝利時2-3着率,厩舎全体非勝利2-3着率,非勝利2-3着差pt,単勝回収率,厩舎全体単回,勝率プラス年度,複勝プラス年度,相手プラス年度,比較年度数,総合タイプ,主タイプ,副タイプ,再集計評価,信頼度,判定理由,Nexus用途
牧浦充徳,既存BJ,当週坂路52.0～57.9秒＋LAP1<13（水/木）,561,9.62566844919786,9.15805022156573,0.4676182276321299,23.52941176470588,24.00295420974889,-0.4735424450430123,15.38461538461539,16.34146341463415,-0.9568480300187634,161.9964349376114,99.55686853766618,3,3,3,7,🔥 単勝妙味型,単🔥,補（年度不安定）,再監査・妙味型維持,MID,勝率9.6%（厩舎9.2%）・複23.5%（24.0%）で能力上積みは小さい一方、単回162%。年度勝/複プラス3/7のため軸型ではなく単勝妙味限定。,調教師判定は維持可。ただし🔥妙味表示に限定し、軸評価へ使わない。
竹内正洋,既存BJ,芝:当週W5F<66（水OR木）／ダ:当週W5F<68（水OR木）,218,13.30275229357798,7.643312101910828,5.659440191667155,30.27522935779817,23.80573248407643,6.469496873721734,19.57671957671958,17.5,2.076719576719576,138.5779816513761,121.7117834394904,5,5,3,6,単🔥・軸,単🔥・軸,AND→OR修正済,正式採用・関数修正済,HIGH,現行BJは水木ANDのため該当0。ORへ修正するとn=218、勝13.3% vs 7.6%、複30.3% vs 23.8%、単回139%、勝/複とも5/6年度プラス。,単🔥＋軸。BJ正式判定として使用。
武英智,既存BJ,当週ウッドあり＋前週土日坂路<52,41,19.51219512195122,8.951563458001226,10.56063166394999,39.02439024390244,27.8969957081545,11.12739453574793,24.24242424242424,20.80808080808081,3.434343434343432,464.8780487804878,74.45738810545677,3,3,2,5,単🔥・軸,軸,単🔥,既存・継続,LOW,勝19.5%（差+10.6pt） / 複39.0%（差+11.1pt） / 非勝利2-3着24.2%（差+3.4pt） / 単回465% / 年度 勝3/5・複3/5・相手2/5,馬連・ワイド・三連複などの軸候補補強
加藤士津,既存BJ,芝:当週坂路<56＋LAP1<13.2／ダ:同条件＋前日坂路<66,327,10.70336391437309,8.211143695014663,2.492220219358426,30.8868501529052,25.80645161290322,5.080398540001976,22.6027397260274,19.16932907348243,3.433410652544971,143.5168195718654,98.75366568914956,6,5,5,7,単🔥・軸,単🔥,軸,既存・継続,HIGH,勝10.7%（差+2.5pt） / 複30.9%（差+5.1pt） / 非勝利2-3着22.6%（差+3.4pt） / 単回144% / 年度 勝6/7・複5/7・相手5/7,単勝候補の補強。Core勝率へ固定加点しない
佐藤悠太,既存BJ,現行: 当週坂路A3相当（LAP1<12）またはW1F<=11.5,124,10.48387096774194,9.7165991902834,0.7672717774585358,29.83870967741936,29.82456140350877,0.01414827391058537,21.62162162162162,22.27204783258595,-0.65042621096433,112.9032258064516,82.86099865047234,1,1,2,4,補,補,A3単独候補,再監査・再設計候補,MID,現行n=124で勝10.5% vs 9.7%、複29.8% vs 29.8%と独立効果ほぼなし。A3単独はn=23で勝21.7%だが小標本。W1F<=11.5単独は弱い。,現行を強判定にしない。A3単独を監視し、W1F枝は独立加点しない。
寺島良,既存BJ,ダート＋前週土日坂路LAP1<13.2＋当週W4F<53（水木は独立OR）,116,20.68965517241379,9.64261631827377,11.04703885414002,41.37931034482759,27.37693863789616,14.00237170693143,26.08695652173913,19.62686567164179,6.460090850097338,124.3965517241379,89.47403910991235,5,5,4,5,単🔥・軸,単🔥・軸,独立OR＋W4F<53,正式採用・関数修正済,HIGH,現行の曜日ペア式はn=7。独立OR＋W4F<53ではn=116、勝20.7% vs 9.6%、複41.4% vs 27.4%、単回124%、勝/複5/5年度プラス。,単🔥＋軸。BJ正式判定として使用。
中内田充,既存BJ,当週W5F<66（水OR木）,30,36.66666666666666,20.63926940639269,16.02739726027397,63.33333333333333,45.20547945205479,18.12785388127854,42.10526315789473,30.95512082853855,11.15014232935618,163.6666666666667,82.11872146118722,4,3,2,4,単🔥・軸,単🔥・軸,小標本・W5F<66単独,修正採用・監視継続,MID,現行複合条件はn=14。W5F<66単独でn=30、勝36.7% vs 20.6%、複63.3% vs 45.2%、単回164%。勝4/4年度プラスだが母数は小さい。,BJを当週W5F<66へ簡素化。単🔥・軸候補だが小標本のため監視継続。
四位洋文,既存BJ,前週土日坂路あり＋前週土日W5F<74,84,20.23809523809524,9.915809167446213,10.32228607064903,41.66666666666666,28.15715622076707,13.50951044589959,26.86567164179105,20.24922118380062,6.616450457990425,250.5952380952381,88.80261927034611,4,2,1,5,🔥 単勝妙味型,単🔥,,既存・継続,MID,勝20.2%（差+10.3pt） / 複41.7%（差+13.5pt） / 非勝利2-3着26.9%（差+6.6pt） / 単回251% / 年度 勝4/5・複2/5・相手1/5,単勝候補の補強。Core勝率へ固定加点しない
森一誠,既存BJ,芝＋前週土日坂路<60＋当週坂路<=54・LAP1<13,71,28.16901408450704,12.87625418060201,15.29275990390504,46.47887323943662,31.60535117056856,14.87352206886806,25.49019607843137,21.49712092130519,3.993075157126189,138.8732394366197,57.49163879598662,5,5,3,6,単🔥・軸,軸,単🔥,既存・継続,MID,勝28.2%（差+15.3pt） / 複46.5%（差+14.9pt） / 非勝利2-3着25.5%（差+4.0pt） / 単回139% / 年度 勝5/6・複5/6・相手3/6,馬連・ワイド・三連複などの軸候補補強
杉山晴紀,既存BJ,当週坂路LAP1<=12.2,304,20.39473684210526,15.77181208053691,4.622924761568351,46.71052631578947,37.78523489932886,8.925291416460617,33.05785123966942,26.13545816733068,6.922393072338739,126.7763157894737,89.06711409395973,7,6,6,7,単🔥・軸,軸,単🔥,既存・継続,HIGH,勝20.4%（差+4.6pt） / 複46.7%（差+8.9pt） / 非勝利2-3着33.1%（差+6.9pt） / 単回127% / 年度 勝7/7・複6/7・相手6/7,馬連・ワイド・三連複などの軸候補補強
