年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路時計,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260922,中山,1,1,障害未勝利,ダ,2880,アドアプローズ,牡,上野翔,小手川準,美,ジャングルポケット,-2146826259,中山ダ2880,-2146826259,46287,アドアプローズ46284,アドアプローズ46281,アドアプローズ46282,アドアプローズ46277,アドアプローズ46278,アドアプローズ46270,アドアプローズ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,95,追,1,2.02609E+17,21107224
20260922,中山,1,10,障害未勝利,ダ,2880,ブランフォルテ,牡,水沼元輝,辻哲英,美,シルバーステート,-2146826259,中山ダ2880,-2146826259,46287,ブランフォルテ46284,ブランフォルテ46281,ブランフォルテ46282,ブランフォルテ46277,ブランフォルテ46278,ブランフォルテ46270,ブランフォルテ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,116,差,6,2.02609E+17,22100527
20260922,中山,1,11,障害未勝利,ダ,2880,ロイガヴェーグル,牡,中村将之,浜田多実,栗,サトノアラジン,-2146826259,中山ダ2880,-2146826259,46287,ロイガヴェーグル46284,ロイガヴェーグル46281,ロイガヴェーグル46282,ロイガヴェーグル46277,ロイガヴェーグル46278,ロイガヴェーグル46270,ロイガヴェーグル46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,99,差,7,2.02609E+17,20103697
20260922,中山,1,12,障害未勝利,ダ,2880,ニシノブレイゼスト,牡,五十嵐雄,高木登,美,シルバーステート,-2146826259,中山ダ2880,-2146826259,46287,ニシノブレイゼスト46284,ニシノブレイゼスト46281,ニシノブレイゼスト46282,ニシノブレイゼスト46277,ニシノブレイゼスト46278,ニシノブレイゼスト46270,ニシノブレイゼスト46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,91,先,7,2.02609E+17,22107011
20260922,中山,1,13,障害未勝利,ダ,2880,サトノドルチェ,セ,江田勇亮,蛯名利弘,美,オルフェーヴル,-2146826259,中山ダ2880,-2146826259,46287,サトノドルチェ46284,サトノドルチェ46281,サトノドルチェ46282,サトノドルチェ46277,サトノドルチェ46278,サトノドルチェ46270,サトノドルチェ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,93,　,8,2.02609E+17,19105500
20260922,中山,1,14,障害未勝利,ダ,2880,グランナヴィール,牡,難波剛健,堀内岳志,美,ゴールドシップ,-2146826259,中山ダ2880,-2146826259,46287,グランナヴィール46284,グランナヴィール46281,グランナヴィール46282,グランナヴィール46277,グランナヴィール46278,グランナヴィール46270,グランナヴィール46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,111,追,8,2.02609E+17,21101779
20260922,中山,1,2,障害未勝利,ダ,2880,カルマンフィルター,牡,草野太郎,戸田博文,美,スワーヴリチャード,-2146826259,中山ダ2880,-2146826259,46287,カルマンフィルター46284,カルマンフィルター46281,カルマンフィルター46282,カルマンフィルター46277,カルマンフィルター46278,カルマンフィルター46270,カルマンフィルター46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,102,　,2,2.02609E+17,21104842
20260922,中山,1,3,障害未勝利,ダ,2880,コトブキヘスペラス,牡,小野寺祐,金成貴史,美,ハーツクライ,-2146826259,中山ダ2880,-2146826259,46287,コトブキヘスペラス46284,コトブキヘスペラス46281,コトブキヘスペラス46282,コトブキヘスペラス46277,コトブキヘスペラス46278,コトブキヘスペラス46270,コトブキヘスペラス46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,93,差,3,2.02609E+17,20100209
20260922,中山,1,4,障害未勝利,ダ,2880,テンプーシャオン,牡,金子光希,和田勇介,美,ドレフォン,-2146826259,中山ダ2880,-2146826259,46287,テンプーシャオン46284,テンプーシャオン46281,テンプーシャオン46282,テンプーシャオン46277,テンプーシャオン46278,テンプーシャオン46270,テンプーシャオン46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,99,差,3,2.02609E+17,20102767
20260922,中山,1,5,障害未勝利,ダ,2880,ゴーツウキリシマ,牝,黒岩悠,牧田和弥,栗,ナムラタイタン,-2146826259,中山ダ2880,-2146826259,46287,ゴーツウキリシマ46284,ゴーツウキリシマ46281,ゴーツウキリシマ46282,ゴーツウキリシマ46277,ゴーツウキリシマ46278,ゴーツウキリシマ46270,ゴーツウキリシマ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,106,追,4,2.02609E+17,20109148
20260922,中山,1,6,障害未勝利,ダ,2880,シュハリ,牡,大江原圭,粕谷昌央,美,カレンブラックヒル,-2146826259,中山ダ2880,-2146826259,46287,シュハリ46284,シュハリ46281,シュハリ46282,シュハリ46277,シュハリ46278,シュハリ46270,シュハリ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,101,　,4,2.02609E+17,20105031
20260922,中山,1,7,障害未勝利,ダ,2880,アルシミスト,セ,坂口智康,浅利英明,美,オルフェーヴル,-2146826259,中山ダ2880,-2146826259,46287,アルシミスト46284,アルシミスト46281,アルシミスト46282,アルシミスト46277,アルシミスト46278,アルシミスト46270,アルシミスト46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,98,逃,5,2.02609E+17,21105805
20260922,中山,1,8,障害未勝利,ダ,2880,バンデルオーラ,牡,伴啓太,岩戸孝樹,美,トーセンラー,-2146826259,中山ダ2880,-2146826259,46287,バンデルオーラ46284,バンデルオーラ46281,バンデルオーラ46282,バンデルオーラ46277,バンデルオーラ46278,バンデルオーラ46270,バンデルオーラ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,100,追,5,2.02609E+17,19104915
20260922,中山,1,9,障害未勝利,ダ,2880,アバットゥータ,牡,井上敏樹,中竹和也,栗,ハービンジャー,-2146826259,中山ダ2880,-2146826259,46287,アバットゥータ46284,アバットゥータ46281,アバットゥータ46282,アバットゥータ46277,アバットゥータ46278,アバットゥータ46270,アバットゥータ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,103,差,6,2.02609E+17,22101139
